de	samples_per_cond	analyze	auc
b_1250_0	2	nbpseq	0.703066420259366
b_1250_0	5	nbpseq	0.83767700993535
b_1250_0	10	nbpseq	0.906740540540541
b_1250_0	2	voom	0.749941929730694
b_1250_0	5	voom	0.836977709501765
b_1250_0	10	voom	0.884177777777778
b_1250_0	2	vst	0.745499375780275
b_1250_0	5	vst	0.832363454341634
b_1250_0	10	vst	0.883201457777778
b_1250_0	2	edger	0.707332049224184
b_1250_0	5	edger	0.852889959130741
b_1250_0	10	edger	0.912943004444444
b_1250_0	2	deseq	0.627637988228999
b_1250_0	5	deseq	0.769857144830216
b_1250_0	10	deseq	0.8722944
b_625_625	2	nbpseq	0.712647685269889
b_625_625	5	nbpseq	0.838836715509823
b_625_625	10	nbpseq	0.907447092299484
b_625_625	2	voom	0.77268378180479
b_625_625	5	voom	0.853421076033793
b_625_625	10	voom	0.906625320056899
b_625_625	2	vst	0.77547807031507
b_625_625	5	vst	0.85814922187639
b_625_625	10	vst	0.909779160739687
b_625_625	2	edger	0.718635069598904
b_625_625	5	edger	0.859372592263228
b_625_625	10	edger	0.925761948790896
b_625_625	2	deseq	0.630987136255991
b_625_625	5	deseq	0.783499261894175
b_625_625	10	deseq	0.878014473684211
b_4000_0	2	nbpseq	0.692115897167516
b_4000_0	5	nbpseq	0.733068958804263
b_4000_0	10	nbpseq	0.778343569831745
b_4000_0	2	voom	0.682802801166534
b_4000_0	5	voom	0.712566856016011
b_4000_0	10	voom	0.745303609248147
b_4000_0	2	vst	0.666099988306731
b_4000_0	5	vst	0.698873807982105
b_4000_0	10	vst	0.725428653370985
b_4000_0	2	edger	0.693014518555751
b_4000_0	5	edger	0.733185822345185
b_4000_0	10	edger	0.773102909165784
b_4000_0	2	deseq	0.650152209209948
b_4000_0	5	deseq	0.719314810454438
b_4000_0	10	deseq	0.755605394752324
b_2000_2000	2	nbpseq	0.778166646188911
b_2000_2000	5	nbpseq	0.861891809347015
b_2000_2000	10	nbpseq	0.91788685573076
b_2000_2000	2	voom	0.772014492946875
b_2000_2000	5	voom	0.852772720493521
b_2000_2000	10	voom	0.903127588844434
b_2000_2000	2	vst	0.775365827640311
b_2000_2000	5	vst	0.859664792581475
b_2000_2000	10	vst	0.908598949752883
b_2000_2000	2	edger	0.781900276909811
b_2000_2000	5	edger	0.872775013272979
b_2000_2000	10	edger	0.9234338373735
b_2000_2000	2	deseq	0.744707881632538
b_2000_2000	5	deseq	0.862625004025906
b_2000_2000	10	deseq	0.920580254177453
p_625_625	2	nbpseq	0.811233462789303
p_625_625	5	nbpseq	0.904548932384342
p_625_625	10	nbpseq	0.94713691883723
p_625_625	2	voom	0.86839306341039
p_625_625	5	voom	0.911185165421558
p_625_625	10	voom	0.943252769135034
p_625_625	2	vst	0.870691258756994
p_625_625	5	vst	0.916707328352899
p_625_625	10	vst	0.948230456040537
p_625_625	2	edger	0.818146471021465
p_625_625	5	edger	0.922881536819637
p_625_625	10	edger	0.956424784425282
p_625_625	2	deseq	0.757796341260436
p_625_625	5	deseq	0.865600675916044
p_625_625	10	deseq	0.933444786203218
s_625_625	2	nbpseq	0.677014888307802
s_625_625	5	nbpseq	0.813334261715422
s_625_625	10	nbpseq	0.884699615298178
s_625_625	2	voom	0.749693650385287
s_625_625	5	voom	0.842048128056914
s_625_625	10	voom	0.901619523470839
s_625_625	2	vst	0.751365541307759
s_625_625	5	vst	0.846123397065362
s_625_625	10	vst	0.903748150782361
s_625_625	2	edger	0.690230491068573
s_625_625	5	edger	0.840377412183193
s_625_625	10	edger	0.904948968705548
s_625_625	2	deseq	0.515177624697379
s_625_625	5	deseq	0.662399181858604
s_625_625	10	deseq	0.820865291607397
r_625_625	2	nbpseq	0.651902240517095
r_625_625	5	nbpseq	0.720695413677209
r_625_625	10	nbpseq	0.742870743647465
r_625_625	2	voom	0.719384218990249
r_625_625	5	voom	0.797639448643842
r_625_625	10	voom	0.861475284495021
r_625_625	2	vst	0.727683658476215
r_625_625	5	vst	0.799063619386394
r_625_625	10	vst	0.858378769559033
r_625_625	2	edger	0.666313853728294
r_625_625	5	edger	0.746394628723877
r_625_625	10	edger	0.759327275960171
r_625_625	2	deseq	0.50147431424293
r_625_625	5	deseq	0.5004
r_625_625	10	deseq	0.530798150782361
