de	samples_per_cond	analyze	true_fdr
b_1250_0	2	nbpseq	0.476394849785408
b_1250_0	2	voom	NA
b_1250_0	2	vst	NA
b_1250_0	2	edger	0.378571428571429
b_1250_0	2	deseq	0.287234042553192
b_625_625	2	nbpseq	0.497206703910615
b_625_625	2	voom	NA
b_625_625	2	vst	NA
b_625_625	2	edger	0.393162393162393
b_625_625	2	deseq	0.290322580645161
b_4000_0	2	nbpseq	0.269035532994924
b_4000_0	2	voom	NA
b_4000_0	2	vst	NA
b_4000_0	2	edger	0.22089552238806
b_4000_0	2	deseq	0.163522012578616
b_2000_2000	2	nbpseq	0.199588477366255
b_2000_2000	2	voom	NA
b_2000_2000	2	vst	NA
b_2000_2000	2	edger	0.140997830802603
b_2000_2000	2	deseq	0.073394495412844
p_625_625	2	nbpseq	0.464929859719439
p_625_625	2	voom	0.0485436893203883
p_625_625	2	vst	0.0574712643678161
p_625_625	2	edger	0.343434343434343
p_625_625	2	deseq	0.2375
s_625_625	2	nbpseq	0.697959183673469
s_625_625	2	voom	NA
s_625_625	2	vst	NA
s_625_625	2	edger	0.492753623188406
s_625_625	2	deseq	0.666666666666667
r_625_625	2	nbpseq	0.754189944134078
r_625_625	2	voom	NA
r_625_625	2	vst	NA
r_625_625	2	edger	0.633333333333333
r_625_625	2	deseq	NA
