zeros	samples_per_cond	analyze	type_one_error
b_0_0	2	edger	0.0524500761889486
b_0_0	2	deseq	0.029673590504451
b_0_0	2	nbpseq	0.0613788110369238
b_0_0	2	voom	0.0484401315261849
b_0_0	2	vst	0.0521292806159275
p_0_0	2	edger	0.0554353921333013
p_0_0	2	deseq	0.0344468477128895
p_0_0	2	nbpseq	0.06724442304606
p_0_0	2	voom	0.0573580068893695
p_0_0	2	vst	0.0620844348313707
s_0_0	2	edger	0.0833266500922287
s_0_0	2	deseq	0.0170823642633732
s_0_0	2	nbpseq	0.0990266269809348
s_0_0	2	voom	0.0385756676557863
s_0_0	2	vst	0.0438687946106344
r_0_0	2	edger	0.106664528029513
r_0_0	2	deseq	0.0162803753308204
r_0_0	2	nbpseq	0.123742859441628
r_0_0	2	voom	0.0373726842569573
r_0_0	2	vst	0.0433876012511027
